V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_1909	Q9UBQ5	4.53e-25	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28)	Homo sapiens (Human)	formation of cytoplasmic translation initiation complex [GO:0001732]; regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413]	GO:0001732; GO:0003723; GO:0003743; GO:0005634; GO:0005829; GO:0005852; GO:0006413; GO:0006446; GO:0016020; GO:0016282; GO:0033290; GO:0043022
Ab_contig_1919	P84173	9.299999999999999e-40	Prohibitin 1	Gallus gallus (Chicken)	DNA biosynthetic process [GO:0071897]; mitochondrion organization [GO:0007005]	GO:0005634; GO:0005737; GO:0005739; GO:0005743; GO:0005886; GO:0007005; GO:0009986; GO:0035632; GO:0071897
Ab_contig_1940	F1QB54	8.65e-44	Polyadenylate-binding protein 1A (PABP-1A) (Poly(A)-binding protein 1A)	Danio rerio (Zebrafish) (Brachydanio rerio)	heart development [GO:0007507]; mRNA processing [GO:0006397]; regulation of translation [GO:0006417]; translation [GO:0006412]	GO:0003723; GO:0003730; GO:0005634; GO:0005829; GO:0006397; GO:0006412; GO:0006417; GO:0007507; GO:0008143; GO:0008266; GO:0010494; GO:1990904
Ab_contig_1971	Q6DRH5	2.52e-22	H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein 10) (Nucleolar protein family A member 3) (snoRNP protein NOP10)	Danio rerio (Zebrafish) (Brachydanio rerio)	primitive hemopoiesis [GO:0060215]; rRNA processing [GO:0006364]; rRNA pseudouridine synthesis [GO:0031118]; snRNA pseudouridine synthesis [GO:0031120]; telomere maintenance via telomerase [GO:0007004]	GO:0005697; GO:0006364; GO:0007004; GO:0031118; GO:0031120; GO:0031429; GO:0034513; GO:0060215; GO:0070034; GO:0090661
Ab_contig_1990	P35129	1.0599999999999998e-92	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Lethal protein 70) (Ubiquitin carrier protein 2) (Ubiquitin-protein ligase 2)	Caenorhabditis elegans	programmed cell death involved in cell development [GO:0010623]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000151; GO:0000209; GO:0004842; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0006511; GO:0010623; GO:0016567; GO:0031625; GO:0061631
Ab_contig_2005	A5D6U8	6.5699999999999985e-81	Acid phosphatase type 7 (EC 3.1.3.2) (Purple acid phosphatase long form)	Danio rerio (Zebrafish) (Brachydanio rerio)		GO:0003993; GO:0005576; GO:0046872
Ab_contig_2013	Q92841	3.9899999999999995e-52	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72)	Homo sapiens (Human)	alternative mRNA splicing, via spliceosome [GO:0000380]; androgen receptor signaling pathway [GO:0030521]; defense response to virus [GO:0051607]; epithelial to mesenchymal transition [GO:0001837]; immune system process [GO:0002376]; intracellular estrogen receptor signaling pathway [GO:0030520]; miRNA metabolic process [GO:0010586]; myoblast differentiation [GO:0045445]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of skeletal muscle cell differentiation [GO:2001014]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA processing [GO:0006396]; RNA-mediated gene silencing [GO:0031047]; rRNA processing [GO:0006364]	GO:0000380; GO:0000381; GO:0001837; GO:0002376; GO:0003713; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006357; GO:0006364; GO:0006396; GO:0008186; GO:0010586; GO:0016020; GO:0016607; GO:0016887; GO:0030520; GO:0030521; GO:0031047; GO:0045445; GO:0045944; GO:0051607; GO:1990904; GO:2001014
Ab_contig_2028	Q96GM5	1.57e-38	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (60 kDa BRG-1/Brm-associated factor subunit A) (BRG1-associated factor 60A) (BAF60A) (SWI/SNF complex 60 kDa subunit)	Homo sapiens (Human)	cellular response to fatty acid [GO:0071398]; chromatin remodeling [GO:0006338]; negative regulation of cell differentiation [GO:0045596]; nervous system development [GO:0007399]; nucleosome disassembly [GO:0006337]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of T cell differentiation [GO:0045582]; regulation of G0 to G1 transition [GO:0070316]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of nucleotide-excision repair [GO:2000819]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription initiation-coupled chromatin remodeling [GO:0045815]	GO:0000776; GO:0000785; GO:0003682; GO:0003712; GO:0003713; GO:0005102; GO:0005634; GO:0005654; GO:0006337; GO:0006338; GO:0006357; GO:0007399; GO:0008284; GO:0016363; GO:0016514; GO:0016586; GO:0030071; GO:0035060; GO:0043231; GO:0045582; GO:0045596; GO:0045597; GO:0045663; GO:0045815; GO:0060090; GO:0070316; GO:0071398; GO:0071564; GO:0071565; GO:0140288; GO:1902459; GO:2000045; GO:2000781; GO:2000819
Ab_contig_2034	Q8BM89	1.4200000000000002e-21	Arylsulfatase J (ASJ) (EC 3.1.6.-)	Mus musculus (Mouse)		GO:0005576; GO:0008484; GO:0015629; GO:0046872
Ab_contig_2035	Q96A72	9.67e-56	Protein mago nashi homolog 2	Homo sapiens (Human)	mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of mRNA processing [GO:0050684]; regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000622]; RNA splicing [GO:0008380]	GO:0000184; GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0005829; GO:0006406; GO:0008380; GO:0035145; GO:0043025; GO:0050684; GO:0071005; GO:0071006; GO:0071013; GO:1990501; GO:2000622
Ab_contig_2042	P54071	5.52e-53	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	Mus musculus (Mouse)	2-oxoglutarate metabolic process [GO:0006103]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; NADP biosynthetic process [GO:0006741]; NADP metabolic process [GO:0006739]; negative regulation of glial cell migration [GO:1903976]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of matrix metallopeptidase secretion [GO:1904465]; tricarboxylic acid cycle [GO:0006099]	GO:0000287; GO:0004450; GO:0005739; GO:0005743; GO:0005777; GO:0005829; GO:0006097; GO:0006099; GO:0006102; GO:0006103; GO:0006739; GO:0006741; GO:0051287; GO:0060253; GO:1903976; GO:1904465
Ab_contig_2048	Q9D115	5.1600000000000003e-26	Zinc finger protein 706	Mus musculus (Mouse)	negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of stem cell population maintenance [GO:1902455]; regulation of translation [GO:0006417]	GO:0005634; GO:0005737; GO:0006417; GO:0045892; GO:0046872; GO:1902455
Ab_contig_2077	Q6GPW2	3.0899999999999997e-31	Small ubiquitin-related modifier 2-B (SUMO-2-B)	Xenopus laevis (African clawed frog)		GO:0005634
Ab_contig_2097	Q641X8	2.4299999999999996e-55	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (eIF-3 p48)	Rattus norvegicus (Rat)	cellular calcium ion homeostasis [GO:0006874]; formation of cytoplasmic translation initiation complex [GO:0001732]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of intracellular protein transport [GO:0090316]; positive regulation of mRNA binding [GO:1902416]; positive regulation of translation [GO:0045727]; translational initiation [GO:0006413]	GO:0000184; GO:0001732; GO:0003743; GO:0005634; GO:0005737; GO:0005852; GO:0006413; GO:0006874; GO:0014069; GO:0016282; GO:0016605; GO:0033290; GO:0044325; GO:0045727; GO:0047485; GO:0071540; GO:0090316; GO:1902416
Ab_contig_2099	P26225	7.2e-24	Endoglucanase B (EC 3.2.1.4) (Cellulase B) (Endo-1,4-beta-glucanase B)	Cellulomonas fimi	cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245; GO:0030248
Ab_contig_2101	P29341	5.109999999999999e-118	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Mus musculus (Mouse)	CRD-mediated mRNA stabilization [GO:0070934]; mRNA processing [GO:0006397]; negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900152]; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000623]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; RNA splicing [GO:0008380]; RNA-mediated gene silencing [GO:0031047]	GO:0000184; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0006397; GO:0008022; GO:0008143; GO:0008266; GO:0008380; GO:0010494; GO:0030027; GO:0030425; GO:0031047; GO:0031252; GO:0036464; GO:0045202; GO:0060213; GO:0070934; GO:0071013; GO:0106002; GO:1900152; GO:1900153; GO:1990124; GO:1990904; GO:2000623; GO:2000767
Ab_contig_2101	P29341	1.24e-43	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Mus musculus (Mouse)	CRD-mediated mRNA stabilization [GO:0070934]; mRNA processing [GO:0006397]; negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900152]; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000623]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; RNA splicing [GO:0008380]; RNA-mediated gene silencing [GO:0031047]	GO:0000184; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0006397; GO:0008022; GO:0008143; GO:0008266; GO:0008380; GO:0010494; GO:0030027; GO:0030425; GO:0031047; GO:0031252; GO:0036464; GO:0045202; GO:0060213; GO:0070934; GO:0071013; GO:0106002; GO:1900152; GO:1900153; GO:1990124; GO:1990904; GO:2000623; GO:2000767
Ab_contig_2101	P29341	8.62e-25	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Mus musculus (Mouse)	CRD-mediated mRNA stabilization [GO:0070934]; mRNA processing [GO:0006397]; negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900152]; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000623]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; RNA splicing [GO:0008380]; RNA-mediated gene silencing [GO:0031047]	GO:0000184; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0006397; GO:0008022; GO:0008143; GO:0008266; GO:0008380; GO:0010494; GO:0030027; GO:0030425; GO:0031047; GO:0031252; GO:0036464; GO:0045202; GO:0060213; GO:0070934; GO:0071013; GO:0106002; GO:1900152; GO:1900153; GO:1990124; GO:1990904; GO:2000623; GO:2000767
Ab_contig_2104	Q5R5H1	3.48e-91	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	cellular response to leukemia inhibitory factor [GO:1990830]; one-carbon metabolic process [GO:0006730]; protein heterooligomerization [GO:0051291]; protein hexamerization [GO:0034214]; S-adenosylmethionine biosynthetic process [GO:0006556]	GO:0004478; GO:0005524; GO:0006556; GO:0006730; GO:0034214; GO:0042802; GO:0046872; GO:0048269; GO:0051291; GO:1990830
Ab_contig_2106	Q08CS6	8.050000000000001e-21	DBH-like monooxygenase protein 2 homolog (EC 1.14.17.-)	Danio rerio (Zebrafish) (Brachydanio rerio)	dopamine catabolic process [GO:0042420]; norepinephrine biosynthetic process [GO:0042421]; octopamine biosynthetic process [GO:0006589]	GO:0004500; GO:0005507; GO:0005615; GO:0006589; GO:0030667; GO:0042420; GO:0042421
Ab_contig_2111	Q6DRC4	1.9599999999999998e-61	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4)	Danio rerio (Zebrafish) (Brachydanio rerio)	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]	GO:0001732; GO:0003723; GO:0003743; GO:0005852; GO:0006413; GO:0016282; GO:0033290
Ab_contig_2133	Q8BP47	3.43e-36	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)	Mus musculus (Mouse)	asparaginyl-tRNA aminoacylation [GO:0006421]; cell migration [GO:0016477]; cerebral cortex development [GO:0021987]	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0005739; GO:0005829; GO:0006421; GO:0016477; GO:0021987; GO:0031728; GO:0046983
Ab_contig_2135	Q8IUS5	2.68e-38	Epoxide hydrolase 4 (EC 3.3.-.-) (Abhydrolase domain-containing protein 7) (Epoxide hydrolase-related protein)	Homo sapiens (Human)		GO:0016020; GO:0016787
Ab_contig_2144	Q9D7P6	2.0099999999999999e-38	Iron-sulfur cluster assembly enzyme ISCU (NifU-like N-terminal domain-containing protein) (NifU-like protein)	Mus musculus (Mouse)	[2Fe-2S] cluster assembly [GO:0044571]; [4Fe-4S] cluster assembly [GO:0044572]; cellular iron ion homeostasis [GO:0006879]; iron ion homeostasis [GO:0055072]; iron-sulfur cluster assembly [GO:0016226]; negative regulation of iron ion import across plasma membrane [GO:1904439]; positive regulation of aconitate hydratase activity [GO:1904234]; positive regulation of mitochondrial electron transport, NADH to ubiquinone [GO:1902958]	GO:0005737; GO:0005739; GO:0005759; GO:0005829; GO:0006879; GO:0008198; GO:0008270; GO:0016226; GO:0042803; GO:0044571; GO:0044572; GO:0051537; GO:0055072; GO:0060090; GO:0099128; GO:1902958; GO:1904234; GO:1904439; GO:1990229
Ab_contig_2152	O43491	6.22e-28	Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G)	Homo sapiens (Human)	actomyosin structure organization [GO:0031032]; cell cycle [GO:0007049]; cell division [GO:0051301]; cortical actin cytoskeleton organization [GO:0030866]; positive regulation of protein localization to cell cortex [GO:1904778]	GO:0003779; GO:0005198; GO:0005654; GO:0005829; GO:0005856; GO:0005886; GO:0005925; GO:0005938; GO:0007049; GO:0008091; GO:0030054; GO:0030507; GO:0030866; GO:0031032; GO:0042731; GO:0051301; GO:0070062; GO:1904778
Ab_contig_2153	A0A1L8EXB5	3.56e-51	Actin-related protein 2/3 complex subunit 1A-B	Xenopus laevis (African clawed frog)	Arp2/3 complex-mediated actin nucleation [GO:0034314]	GO:0003779; GO:0005634; GO:0005737; GO:0005885; GO:0034314; GO:0035861
Ab_contig_2155	O09159	3.36e-22	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B)	Mus musculus (Mouse)	learning or memory [GO:0007611]; mannose metabolic process [GO:0006013]; oligosaccharide catabolic process [GO:0009313]; protein modification process [GO:0036211]	GO:0004559; GO:0005537; GO:0005615; GO:0005654; GO:0005764; GO:0006013; GO:0007611; GO:0009313; GO:0036211; GO:0043202; GO:0043231; GO:0046872
Ab_contig_2156	Q78S06	1.67e-33	Protein SYS1 homolog	Mus musculus (Mouse)	Golgi to endosome transport [GO:0006895]; Golgi to plasma membrane protein transport [GO:0043001]; protein localization to Golgi apparatus [GO:0034067]	GO:0000139; GO:0005802; GO:0005829; GO:0006895; GO:0034067; GO:0043001
Ab_contig_2191	O08325	1.0999999999999998e-54	Xylose isomerase (EC 5.3.1.5)	Priestia megaterium (strain DSM 319 / IMG 1521) (Bacillus megaterium)	D-xylose metabolic process [GO:0042732]	GO:0000287; GO:0005737; GO:0009045; GO:0042732
Ab_contig_2229	P40320	1.13e-22	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (Methionine adenosyltransferase) (MAT)	Drosophila melanogaster (Fruit fly)	determination of adult lifespan [GO:0008340]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	GO:0004478; GO:0005524; GO:0005829; GO:0006556; GO:0006730; GO:0008340; GO:0046872
Ab_contig_2244	Q9NQC3	1.52e-53	Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5)	Homo sapiens (Human)	apoptotic process [GO:0006915]; axonal fasciculation [GO:0007413]; blastocyst formation [GO:0001825]; brain development [GO:0007420]; cardiac epithelial to mesenchymal transition [GO:0060317]; cell adhesion involved in sprouting angiogenesis [GO:0120078]; cell migration involved in vasculogenesis [GO:0035441]; cellular response to hypoxia [GO:0071456]; cellular sphingolipid homeostasis [GO:0090156]; central nervous system vasculogenesis [GO:0022009]; cerebral cortex radial glia-guided migration [GO:0021801]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum tubular network formation [GO:0071787]; endoplasmic reticulum tubular network membrane organization [GO:1990809]; endoplasmic reticulum tubular network organization [GO:0071786]; leukocyte migration involved in inflammatory response [GO:0002523]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of axon extension [GO:0030517]; negative regulation of cell growth [GO:0030308]; negative regulation of vasculogenesis [GO:2001213]; neuron differentiation [GO:0030182]; nuclear pore complex assembly [GO:0051292]; positive regulation of angiogenesis [GO:0045766]; positive regulation of artery morphogenesis [GO:1905653]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of ERBB3 signaling pathway [GO:1905580]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of macrophage migration [GO:1905523]; positive regulation of mammary gland epithelial cell proliferation [GO:0033601]; positive regulation of neutrophil migration [GO:1902624]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; protein localization to lysosome [GO:0061462]; protein stabilization [GO:0050821]; regulation of apoptotic process [GO:0042981]; regulation of branching morphogenesis of a nerve [GO:2000172]; regulation of cell migration [GO:0030334]	GO:0001825; GO:0002523; GO:0003723; GO:0005635; GO:0005783; GO:0005789; GO:0005886; GO:0006915; GO:0007029; GO:0007413; GO:0007420; GO:0010634; GO:0014069; GO:0021801; GO:0022009; GO:0030054; GO:0030182; GO:0030308; GO:0030334; GO:0030517; GO:0031625; GO:0033601; GO:0034165; GO:0035022; GO:0035441; GO:0042803; GO:0042981; GO:0043005; GO:0045296; GO:0045766; GO:0046872; GO:0050804; GO:0050821; GO:0051292; GO:0051897; GO:0060317; GO:0060907; GO:0061462; GO:0070161; GO:0071456; GO:0071782; GO:0071786; GO:0071787; GO:0090156; GO:0098826; GO:0098978; GO:0120078; GO:1902430; GO:1902624; GO:1905523; GO:1905552; GO:1905580; GO:1905653; GO:1990809; GO:2000172; GO:2000347; GO:2001213
